"user_id","signup_date","country","device_type"
1,2024-06-02 00:00:00.000,Rest,iOS
2,2024-03-20 00:00:00.000,India,Android
3,2023-09-17 00:00:00.000,EU,Web
4,2024-02-05 00:00:00.000,India,iOS
5,2025-06-08 00:00:00.000,India,Web
6,2024-11-01 00:00:00.000,EU,iOS
7,2024-05-31 00:00:00.000,EU,Android
8,2025-09-06 00:00:00.000,US,Web
9,2024-11-06 00:00:00.000,US,Android
10,2022-02-09 00:00:00.000,EU,Android
11,2025-01-24 00:00:00.000,Rest,iOS
12,2025-04-26 00:00:00.000,US,iOS
13,2025-03-19 00:00:00.000,US,Android
14,2025-09-17 20:36:02.908,EU,iOS
15,2024-12-24 00:00:00.000,India,Android
16,2022-11-20 00:00:00.000,Rest,Web
17,2024-10-21 00:00:00.000,India,Web
18,2023-05-06 00:00:00.000,EU,Android
19,2024-08-30 00:00:00.000,US,Android
20,2024-10-09 00:00:00.000,US,iOS
21,2025-02-13 00:00:00.000,US,iOS
22,2025-04-26 00:00:00.000,US,Web
23,2024-04-23 00:00:00.000,US,Web
24,2025-09-15 00:00:00.000,US,iOS
25,2024-05-31 00:00:00.000,Rest,Android
26,2025-09-17 20:36:02.908,US,Android
27,2023-01-06 00:00:00.000,US,Web
28,2023-04-02 00:00:00.000,EU,iOS
29,2024-01-11 00:00:00.000,India,Android
30,2022-12-18 00:00:00.000,India,Android
31,2024-06-11 00:00:00.000,US,Android
32,2025-07-01 00:00:00.000,India,Web
33,2025-06-26 00:00:00.000,US,Android
34,2022-08-21 00:00:00.000,US,iOS
35,2022-07-04 00:00:00.000,EU,Android
36,2025-09-17 20:36:02.908,US,Web
37,2025-09-17 20:36:02.908,India,Web
38,2025-04-05 00:00:00.000,US,Android
39,2025-02-27 00:00:00.000,Rest,Android
40,2024-03-09 00:00:00.000,EU,iOS
41,2025-06-08 00:00:00.000,US,iOS
42,2024-12-28 00:00:00.000,US,iOS
43,2023-09-03 00:00:00.000,Rest,iOS
44,2023-07-22 00:00:00.000,Rest,Web
45,2025-02-11 00:00:00.000,US,Android
46,2024-07-30 00:00:00.000,US,iOS
47,2024-06-01 00:00:00.000,US,Android
48,2025-09-09 00:00:00.000,India,Web
49,2024-07-08 00:00:00.000,US,Web
50,2022-10-07 00:00:00.000,EU,Web
51,2024-04-16 00:00:00.000,US,Android
52,2025-05-07 00:00:00.000,Rest,Android
53,2025-05-14 00:00:00.000,US,Web
54,2022-07-24 00:00:00.000,India,iOS
55,2024-02-21 00:00:00.000,US,Web
56,2024-04-22 00:00:00.000,EU,Web
57,2025-05-14 00:00:00.000,US,Web
58,2024-09-02 00:00:00.000,US,iOS
59,2023-11-09 00:00:00.000,US,Android
60,2025-09-17 20:36:02.908,US,Web
61,2024-08-22 00:00:00.000,EU,Android
62,2024-01-17 00:00:00.000,India,iOS
63,2025-07-03 00:00:00.000,Rest,Web
64,2024-11-17 00:00:00.000,US,Android
65,2024-09-16 00:00:00.000,US,Web
66,2024-04-19 00:00:00.000,US,Android
67,2023-07-14 00:00:00.000,India,Android
68,2025-08-20 00:00:00.000,US,iOS
69,2025-09-17 20:36:02.908,Rest,Android
70,2025-07-07 00:00:00.000,Rest,iOS
71,2025-01-26 00:00:00.000,India,Web
72,2024-07-07 00:00:00.000,Rest,Android
73,2025-05-31 00:00:00.000,US,Android
74,2024-11-22 00:00:00.000,US,iOS
75,2025-03-17 00:00:00.000,US,iOS
76,2023-10-19 00:00:00.000,EU,Android
77,2023-06-11 00:00:00.000,India,iOS
78,2024-07-16 00:00:00.000,US,Web
79,2023-03-25 00:00:00.000,US,Android
80,2025-09-17 20:36:02.908,EU,iOS
81,2025-09-17 20:36:02.908,Rest,iOS
